"RecipeInstructions","Name","Images","Keywords","RecipeIngredientQuantities","RecipeIngredientParts","AggregatedRating","ReviewCount","RecipeId","RecipeCategory"
"Into a 1 quart Jar with tight fitting lid, put sugar and lemon peel, or zest;  add 1 1/2 cups very hot water (not from tap!). With lid fitted firmly, shake jar until sugar is dissolved., Add lemon juice. Refrigerate until chilled., To Serve: Into each 12-ounce glass, over ice cubes, pour 1/4 cup of the lemon syrup., Then add chilled club soda or, if you prefer, water., Stir to mix well.","Best Lemonade","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/40/picJ4Sz3N.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/40/pic23FWio.jpg","Low Protein, Low Cholesterol, Healthy, Summer, < 60 Mins","1 1/2, 1, NA, 1 1/2, NA, 3/4","sugar, lemons, rind of, lemon, zest of, fresh water, fresh lemon juice","4.5","10","40","Beverages"
"mix together all ingredients in a bowl, makes about 2 cups, From: Salsa by Reed Hearon","Mango Salsa","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/34/0/picqV53Ua.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/34/0/picc5L3G2.jpg","Fruit, Low Protein, Low Cholesterol, Healthy, Free Of..., < 15 Mins, Easy","1, 1, 2, 1, 1, 1, 1/2","serrano chili, mango, tamarind pulp, garlic, fresh cilantro, raw red bell pepper","5","1","340","Sauces"
"Mix apricots, lemon juice and rind., Add sugar, stir 5 minutes until sugar dissolves., Let stand 20 minutes., Stir in pectin., Ladle into cartons or jars, filling to within 1/2 inch of top., Cover with cloth and let stand until set, 24 hours or overnight. Cover and freeze. To serve, thaw and store in refrigerator., (Freeze for 1 month before thawing to use).","Freezer Apricot Jam","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/61/2/pic1LDsb7.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/61/2/picGozDXk.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/61/2/picGDWK7o.jpg","Free Of..., Weeknight, Canning, Freezer, Easy","3, 1, 1/8, 5, 1/2","apricots, lemon juice, lemon, rind of, granulated sugar","5","1","612","Fruit"
"Combine cornmeal, paprika, salt, garlic, powder, pepper, and cumin in a shallow  dish or on a sheet of waxed paper., Rinse chicken, do not pat dry; coat chicken  evenly on all sides with the cornmeal mixture., Spray an unheated large skillet  with cooking spray., Preheat skillet over medium high heat., Add chicken; cook  for 8 to 10 minutes or until tender and no longer pink, turning occasionally to brown evenly on all sides.","Zesty Fried Chicken","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/74/7/picrfPgnB.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/74/7/picSDm3Zv.jpg","Chicken, Poultry, Meat, < 60 Mins, Deep Fried, Easy","2, 1, 1/2, 1/2, 1/2, 1/4, 4, NA","cornmeal, paprika, salt, garlic powder, pepper, cumin, boneless skinless chicken breast halves","4.5","10","747","Chicken Breast"
"Heat oil and fry ginger, garlic and shallot until brown., Add chicken  and stir fry for 1 minute, then add all ingredients., Cook for 8  minutes, stirring often until sauce thickens.","Ga Kho (Ginger Chicken)","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/28/72/picpvVxPQ.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/28/72/picRtoIJG.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/28/72/picZ0nftb.jpg","Meat, < 15 Mins, Easy","1 1/2, 2, 2, 1 1/2, 2, 1, 1, 1/2, 1, NA","fresh ginger, garlic, boneless chicken, sugar, thick soy sauce, fish sauce, pepper, onion, salt","5","8","2872","Poultry"
"Dip 4 boneless chicken breasts in butter then roll in rest of ingredients., Drizzle with remaining butter., Bake uncovered 30-35 minutes at 375 degrees., Can prepare earlier in day and refrigerate until ready to cook., Note: do not use extra butter or the coating will be soggy, not crispy.","Crispy Chicken","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/31/67/pichRwwP2.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/31/67/picbuMA7x.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/31/67/picEG3l4H.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/31/67/piclxAGxc.jpg","Poultry, Meat, < 60 Mins, Oven, Easy","1 1/2, 2, 1/2, 1/4, 1/4, 4","flour, seasoning salt, garlic powder, butter, boneless skinless chicken breasts","5","15","3167","Chicken"
"Blend mustard, preserves, and ginger., Brush mustard mixture onto chicken., Grill or broil about 8-10 minutes each side or until done, brushing with honey mustard apricot mixture frequently.","Honey Dijon Mustard Chicken With Apricot","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/32/84/picf0cV9G.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/32/84/picR5PwBd.jpg","Chicken, Poultry, Fruit, Meat, Spicy, Savory, Sweet, < 30 Mins, Beginner Cook, Easy","1/3, 3, 1, 4","ginger, boneless skinless chicken breast halves","5","6","3284","Lunch/Snacks"
"Combine blueberries, orange juice, lemon juice, vermouth, orange peel, lemon peel and ginger., Stir to blend and set aside. Melt butter in a large, heavy skillet and saute until brown and just cooked through., Transfer veal to platter and keep warm., Add blueberry mixture to skillet and cook until mixture thickens, scraping up any browned bits (about 2 minutes). Spoon blueberry mixture over veal and serve.","Veal Medallions with Blueberry-Citrus Sauce","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/33/52/picbccTNm.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/33/52/picWGJWLC.jpg","Berries, Fruit, Meat, < 15 Mins","1, 6, 6, 2, 2, 2, 1, 3, 1, NA","blueberries, lemon juice, vermouth, lemons, rind of, fresh ginger, butter","5","1","3352","Veal"
"Preheat oven to 425., Place mushroom caps, chicken, onion, red and yellow peppers in roasting pan coated with cooking spray., In a small bowl, mix together chicken broth and remaining ingredients., Pour half of broth mixture into roasting pan., Bake, uncovered, for 20 minutes., Stir; pour remaining broth mixture into  roasting pan., Bake an additional 10-15 minutes or until vegetables  are tender  and chicken is cooked., Cut chicken into bit-size pieces., Mix and serve","Chicken and Vegetable Salad","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/34/59/picz3INjX.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/34/59/picJFU6af.jpg","Chicken, Poultry, Vegetable, Meat, < 15 Mins, Oven","1, 8, 2, 2, 1, NA, 1/2, 1/4, 2, 3, 2, 1/2, 1/2, 4","fresh mushrooms, boneless skinless chicken breast halves, purple onion, low sodium chicken broth, no-salt-added chicken broth, olive oil, dried rosemary, salt, pepper, garlic","4.5","2","3459","Chicken Breast"
"In 10 inch skillet over medium-high heat, melt butter; add chicken., Cook,  stirring  occasionally, until no longer pink, about 3 minutes., Add chicken  broth, spaghetti sauce and seasonings; heat to boiling., Add uncooked pasta,  stirring to coat with  liquid., Cover; reduce heat. Simmer 15 minutes, stirring  every 2 minutes or until most liquid is absorbed., Remove from heat; stir in  Parmesan cheese.       5 servings (1 cup each)","Easy Chicken and Pasta Parmesan","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/36/24/pichRzydq.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/36/24/picTXLbCH.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/36/24/picq1FVzd.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/36/24/picK60G3O.jpg","Chicken, Poultry, Meat, High Protein, Healthy, High In..., < 30 Mins, Easy","1, 1, 1/4, 1/2, 1/2, 1/2, 3, 3/4","butter, margarine, boneless skinless chicken breast, chicken broth, low sodium chicken broth, dried basil, oregano leaves, rotini pasta, parmesan cheese","4","10","3624","Chicken Breast"
